Date,Open,High,Low,Close,Volume
2023-10-19,74.8700,76.4600,72.8850,72.9200,17486091
2023-10-18,76.4300,77.0700,73.4000,74.8800,34732276
2023-10-17,77.9900,80.6300,77.9800,80.3300,12324802
2023-10-16,78.7900,79.1800,77.8725,78.7300,7901524
